epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.02,0.82374,1.80336,1.3723,0.59744,0.38732,0.39232,0.33586,0.58576,2.18972,1.30029,0.000369648,0.000369648,0.000369648
2,498.768,0.86343,1.38784,1.38552,0.56247,0.44624,0.39919,0.34494,0.58244,2.41638,1.30304,0.000715561,0.000715561,0.000715561
3,742.502,0.80812,1.28919,1.33855,0.5442,0.48546,0.54707,0.46947,0.5119,2.09778,1.20612,0.00103703,0.00103703,0.00103703
4,985.748,0.74532,1.16258,1.28997,0.66894,0.7952,0.83033,0.73823,0.48712,0.98897,1.19262,0.00100101,0.00100101,0.00100101
5,1228.27,0.68144,1.04253,1.24114,0.772,0.57132,0.81102,0.75488,0.37225,1.5499,1.07028,0.000964348,0.000964348,0.000964348
6,1470.38,0.62635,0.95417,1.20322,0.79439,0.75865,0.89885,0.85563,0.33145,0.91476,1.00735,0.000927685,0.000927685,0.000927685
7,1713.64,0.59087,0.8849,1.17606,0.65295,0.75379,0.85981,0.82361,0.29095,1.32272,0.97977,0.000891022,0.000891022,0.000891022
8,1956.96,0.57513,0.83738,1.16497,0.7215,0.76108,0.89802,0.86869,0.29572,1.13272,0.98603,0.000854359,0.000854359,0.000854359
9,2200.48,0.54748,0.79707,1.14327,0.6961,0.75575,0.89467,0.86837,0.30013,1.18414,0.96473,0.000817696,0.000817696,0.000817696
10,2442.96,0.52497,0.75135,1.13257,0.7311,0.67964,0.85573,0.82203,0.30444,1.66962,0.98723,0.000781033,0.000781033,0.000781033
11,2684.72,0.51375,0.71403,1.12313,0.77525,0.68684,0.84945,0.83074,0.25561,1.2319,0.93408,0.00074437,0.00074437,0.00074437
12,2927.68,0.49907,0.68402,1.11232,0.7367,0.69297,0.89454,0.88406,0.26086,1.33681,0.93267,0.000707707,0.000707707,0.000707707
13,3170.02,0.47773,0.64675,1.09899,0.79817,0.7505,0.91985,0.90067,0.23516,0.9652,0.91579,0.000671044,0.000671044,0.000671044
14,3412.49,0.46082,0.63598,1.08883,0.73942,0.77442,0.9237,0.90174,0.2581,1.28567,0.92541,0.000634381,0.000634381,0.000634381
15,3655.31,0.46336,0.61618,1.08438,0.76646,0.72238,0.8867,0.87275,0.22983,1.13912,0.91108,0.000597718,0.000597718,0.000597718
16,3897.57,0.44498,0.57736,1.07626,0.82906,0.82712,0.94711,0.93155,0.23562,0.80632,0.90813,0.000561055,0.000561055,0.000561055
17,4141.17,0.43209,0.55343,1.06757,0.76793,0.82632,0.92623,0.91672,0.22087,0.90399,0.89382,0.000524392,0.000524392,0.000524392
18,4384.39,0.42457,0.5419,1.06473,0.85441,0.82327,0.96539,0.95646,0.21011,0.63217,0.87286,0.000487729,0.000487729,0.000487729
19,4629.57,0.41755,0.52097,1.06114,0.72735,0.79448,0.93947,0.93342,0.19605,1.01958,0.86887,0.000451066,0.000451066,0.000451066
20,4871.67,0.40449,0.50064,1.05264,0.71749,0.76167,0.94965,0.9403,0.19588,0.95717,0.86563,0.000414403,0.000414403,0.000414403
21,5114.63,0.27456,0.25753,1.0124,0.78766,0.82477,0.93991,0.93442,0.19923,0.78523,0.86851,0.00037774,0.00037774,0.00037774
22,5355.68,0.25411,0.22835,0.98843,0.8675,0.86174,0.95188,0.9445,0.19115,0.65153,0.85468,0.000341077,0.000341077,0.000341077
23,5597.28,0.2376,0.21055,0.97523,0.90935,0.88587,0.94836,0.93935,0.20365,0.56016,0.8768,0.000304414,0.000304414,0.000304414
24,5837.54,0.22746,0.19246,0.96233,0.87466,0.85373,0.95725,0.95001,0.18645,0.5873,0.86003,0.000267751,0.000267751,0.000267751
25,6078.79,0.22052,0.18485,0.96167,0.8895,0.84681,0.95812,0.95481,0.17556,0.59619,0.84119,0.000231088,0.000231088,0.000231088
26,6319.74,0.21039,0.16631,0.94798,0.90131,0.87113,0.95815,0.95384,0.17855,0.58157,0.84685,0.000194425,0.000194425,0.000194425
27,6560.67,0.19688,0.15065,0.93515,0.92693,0.8986,0.95372,0.94687,0.1723,0.44127,0.84439,0.000157762,0.000157762,0.000157762
28,6802.02,0.18949,0.13783,0.93283,0.93115,0.88784,0.95672,0.95284,0.16171,0.46614,0.83675,0.000121099,0.000121099,0.000121099
29,7042.99,0.17769,0.13231,0.91838,0.92894,0.88527,0.96236,0.95836,0.15953,0.46319,0.82821,8.4436e-05,8.4436e-05,8.4436e-05
30,7282.86,0.16986,0.12589,0.9196,0.93036,0.88638,0.9645,0.9607,0.15214,0.48555,0.8262,4.7773e-05,4.7773e-05,4.7773e-05
