epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.573,0.88677,1.65034,1.42174,0.25589,0.37297,0.23331,0.16329,1.09706,5.10483,2.04637,0.000369648,0.000369648,0.000369648
2,865.097,0.90619,1.48592,1.41346,0.44179,0.38647,0.27282,0.19327,0.9268,2.39062,1.59044,0.000715561,0.000715561,0.000715561
3,1297.34,0.82208,1.35374,1.34447,0.53162,0.68108,0.65654,0.55703,0.57519,1.40611,1.40138,0.00103703,0.00103703,0.00103703
4,1729.26,0.73705,1.2068,1.27926,0.64295,0.65739,0.73021,0.66148,0.45598,1.34684,1.12177,0.00100101,0.00100101,0.00100101
5,2162.21,0.68282,1.09294,1.23461,0.58157,0.78096,0.78037,0.71785,0.39292,1.339,1.05819,0.000964348,0.000964348,0.000964348
6,2594.14,0.62713,1.00942,1.1991,0.75186,0.70417,0.84549,0.80992,0.31674,0.87852,1.00172,0.000927685,0.000927685,0.000927685
7,3026.54,0.59222,0.92392,1.1725,0.71416,0.80539,0.89781,0.87845,0.26291,0.92286,0.95285,0.000891022,0.000891022,0.000891022
8,3462.01,0.57328,0.85828,1.16083,0.70443,0.68067,0.83558,0.80574,0.30119,1.50433,0.96754,0.000854359,0.000854359,0.000854359
9,3892.14,0.54717,0.81333,1.14193,0.85224,0.73644,0.92553,0.90439,0.26266,0.81087,0.93669,0.000817696,0.000817696,0.000817696
10,4324.71,0.52597,0.74962,1.12869,0.78468,0.67129,0.86057,0.84744,0.2257,1.34933,0.91038,0.000781033,0.000781033,0.000781033
11,4755.12,0.51352,0.72094,1.11897,0.70589,0.68588,0.84047,0.82501,0.2231,1.87541,0.91351,0.00074437,0.00074437,0.00074437
12,5186.42,0.4967,0.68199,1.10658,0.80022,0.72733,0.93136,0.91784,0.22318,0.90245,0.8964,0.000707707,0.000707707,0.000707707
13,5618.79,0.47823,0.65518,1.09621,0.83652,0.83971,0.94392,0.93292,0.21999,0.70414,0.8917,0.000671044,0.000671044,0.000671044
14,6055.17,0.46592,0.62324,1.08813,0.71922,0.78543,0.92905,0.92028,0.20708,1.28825,0.87689,0.000634381,0.000634381,0.000634381
15,6484.46,0.46306,0.605,1.08451,0.84081,0.8286,0.95264,0.94397,0.20681,0.66999,0.88654,0.000597718,0.000597718,0.000597718
16,6916.71,0.44394,0.5744,1.0734,0.78275,0.82873,0.94487,0.93434,0.22631,0.84163,0.89614,0.000561055,0.000561055,0.000561055
17,7352.79,0.42722,0.5518,1.06357,0.73625,0.84238,0.94197,0.93495,0.17303,0.901,0.85302,0.000524392,0.000524392,0.000524392
18,7788,0.419,0.53285,1.05854,0.79814,0.84959,0.94038,0.93486,0.18582,0.72071,0.86565,0.000487729,0.000487729,0.000487729
19,8223.21,0.40855,0.50618,1.05135,0.77973,0.7892,0.9135,0.9072,0.21312,1.0966,0.87849,0.000451066,0.000451066,0.000451066
20,8658.21,0.39997,0.49347,1.04707,0.8019,0.8262,0.9423,0.94002,0.17607,0.73921,0.84816,0.000414403,0.000414403,0.000414403
21,9089.57,0.27074,0.26094,1.00198,0.81902,0.77394,0.94834,0.9411,0.19324,0.78951,0.87614,0.00037774,0.00037774,0.00037774
22,9522.35,0.25202,0.23008,0.98202,0.89405,0.89288,0.95788,0.94984,0.18143,0.4858,0.85272,0.000341077,0.000341077,0.000341077
23,9953.09,0.23533,0.20816,0.96582,0.80337,0.85564,0.95318,0.94728,0.16891,0.7387,0.84926,0.000304414,0.000304414,0.000304414
24,10381.8,0.22384,0.18765,0.95652,0.87287,0.86227,0.95992,0.95323,0.17536,0.62527,0.85001,0.000267751,0.000267751,0.000267751
25,10825.5,0.20939,0.17367,0.94642,0.84893,0.83826,0.96274,0.95917,0.15425,0.67409,0.82344,0.000231088,0.000231088,0.000231088
26,11255.1,0.20487,0.16261,0.93954,0.81476,0.85322,0.96085,0.95624,0.15316,0.64415,0.83844,0.000194425,0.000194425,0.000194425
27,11689.1,0.18946,0.14323,0.92506,0.81798,0.85832,0.94111,0.93847,0.1471,0.66442,0.82182,0.000157762,0.000157762,0.000157762
28,12119.8,0.18189,0.13495,0.92141,0.88314,0.89693,0.96188,0.96107,0.14195,0.47117,0.8152,0.000121099,0.000121099,0.000121099
29,12548.5,0.1679,0.12064,0.90727,0.88349,0.86472,0.96103,0.95989,0.14134,0.49826,0.81589,8.4436e-05,8.4436e-05,8.4436e-05
30,12977.4,0.1576,0.11444,0.90668,0.87258,0.85731,0.96412,0.95982,0.14305,0.53504,0.81816,4.7773e-05,4.7773e-05,4.7773e-05
